Event Link,Date & Time,Event Name,Location,Event Description,Attendees,Hosted By,Category
https://www.meetup.com/these-boots-are-made-for-hiking/events/304059050/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-22T13:00:00-05:00,These Boots are Giving Back By Making 450 Sandwiches!,"93 Dixon Ave · Toronto, ON","This ""Boots"" Meetup is about giving back! Every year we make sandwiches for the sheletrs in downtown Toronto through an iniative of my neighbort.Last year ""These Boots"" made 450 Sandwiches. I would like to aim for 500. There is enough of us and it is not a huge ask for a fun afternoon.What to bring: Each person brings 2 loaves of bread and filling for sandwiches. Filling can be- peanut butter and honey- cheese - (no cheese whiz)- tuna, salmon-egg- chickpeaWhatever sandwich you would make for yourself. Please ensure the quality is adeqequate.You bring the ingredients, and we set up stations to cut, spread, wrap and label!It's fun, busy and rewarding. At the end we open up some bubbly and enjoy a drink to us!If you cant make it, but would like to contribute, please consider donating $20. and we will buy ingredients and make sandwiches in your name.Reach out if you would like to donate.",50,Sherry B.,Entertainment
https://www.meetup.com/the-bitcoin-bay/events/304409856/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-09T18:00:00-05:00,2024 Crypto Christmas Party,"291 King St W · Toronto, ON","🎄Crypto Christmas Party 2024🎅Celebrate the holiday season withBitcoin Bayand our amazing collaborators:Bitget, Crypto Mondays, TorontoDAO, Dopul, CryptoChicks, and NorthstarDAO!
Join us for an unforgettable evening of networking, holiday cheer, and celebrating the vibrant crypto and blockchain community in Toronto. Whether you're an investor, entrepreneur, builder, or just crypto-curious, this is the perfect event to connect, learn, and celebrate together.
What to Expect:🎁 Festive networking with blockchain enthusiasts and industry leaders🍸 Holiday cocktails, snacks, and great company💬 Informative discussions on the latest in crypto and blockchain🎉 A chance to win exciting prizes and giveaways
IN-PERSON LOCATION:Casa Mezcal, 2nd Floor291 King St WToronto, ON M5V 1J5
Why Attend?Bitcoin Bay meetups are known for bringing together the brightest minds in the blockchain space. This festive gathering offers a unique opportunity to network with like-minded individuals, explore innovative ideas, and celebrate the year's achievements in the blockchain and crypto industries.
***When you have a moment please read the original Satoshi Nakamoto Whitepaper, that started it all:https://nakamotoinstitute.org/bitcoin***AboutBitcoin Bay:Welcome to Canada's longest-running Crypto Community. Our mission is to grow the Crypto Ecosystem globally – beginning from our home base in Canada.Bitcoin Bayis a starting point for your crypto journey.If you have something to share, you can find an interested audience.Looking to learn? you can find a great source of knowledge.Do you have a brilliant idea? You could find the perfect partners!
AboutBitGet:Launched in 2018,Bitgetprovides comprehensive and secure trading solutions to our global userbase. With a core focus on social trading,Bitgethas amassed over 8 million users, 1.1 million followers, and 55,000 professional traders from more than 100 countries around the world. For more, visitbitget.com
AboutBlockchainEvents:BlockchainEventsis an aggregate and a shared Google Calender of the local blockchain communities and events in Toronto, Canada and the World!The communities include:Bitcoin Bay,Toronto Bitcoin Meetups,DeFi Toronto,NFTO,Web3TO,MetaverseTO, WXN and Women of Web3, F3 Female Founders, Black Web3TO,Fem_T3ch,Goat Gallery,CryptoLifeand several other Tech and related groups.",59,Antoine De V. and 3 others,Entertainment
https://www.meetup.com/hike-to-eat/events/304605641/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T10:00:00-05:00,Westend Coffee Walk (8.4 km),"Keele and Bloor · Toronto, ON","Join us for an urban walk to find the westend's best cup of coffee. The walk starts on forested trails of High Park, Toronto's largest public park. We will then head through the upscale residential High Park neighbourhood with many beautiful homes to Roncesvalles. Known as Roncy to locals, this area is teaming with cafes, trendy shops and restaurants.
We will stop briefly at some of the best coffee shops then head north to along the West Toronto Rail Path to the Junction Triangle area.
Highlights
NeighbourhoodsHigh Park > Roncesvalles > Junction Triangle
Maphttps://www.google.com/maps/d/viewer?mid=1vsZKf56mT7Yse2TkzqVq3lWoz-5ZgwY&usp=sharing
How it worksHike starts punctually. Late or can't join at the beginning? Meet us at scheduled checkpoints.
We'll browse many food places but won't linger long. See the route in advance, organize takeout, then pickup along the way.
See ourAbout sectionfor more info.",100,Karen L.,Entertainment
https://www.meetup.com/hike-to-eat/events/304538388/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-15T11:00:00-05:00,Weaving through the Waterfront + Christmas market (14.5 km),"845 King St W · Toronto, ON","Toronto's beautiful waterfront is separated from downtown by a hulking highway and railway. This hike will make you acutely aware of that as we cross the barrier multiple times. Ponder the state of urban planning in Toronto while admiring gridlocked traffic, road closures, and TTC replacement buses.
It gets better at the east end, where Toronto's newest neighbourhood is taking shape. If you haven't visited in the last few years, stunning buildings have sprouted up: the first mass timber building in Ontario, a Moshe Safdie condo, hip community centres, the LCBO HQ, and more.
Urbanism aside, we'll cover notable restaurants along the way. A lot of it is mediocre, overpriced tourist traps, or closed during the day. However, there are some decent choices for a quick bite.
The hike ends at another tourist hotspot: the historic Distillery District. It hosts various festivals throughout the year, notably the largest Christmas Market in Toronto. You can peruse it after the hike; this hike does not include exploration of the market.
There is no lunch break because we aim to reach the Christmas Market before 4pm, before free admission ends. Have a heavy breakfast or pick up munchies along the way.
Highlights
NeighbourhoodsNiagara > Toronto Island > Fashion District > Cityplace > Entertainment District > Harbourfront > South Core > St Lawrence > East Bayfront > Distillery District
Maphttps://www.google.com/maps/d/edit?mid=1ery9PqymNfB6c27s0tc2bIyJB672QkQ&usp=sharing
As with all hikes, this isnot a leisure walk or walking tour. Be prepared for steep inclines and inclement weather.
How it worksHike starts punctually. Late or can't do the whole route? Meet us at scheduled checkpoints.
We'll browse many food places but won't linger long. Grab ready-made food, or see the route in advance, organize takeout, then pickup along the way.
Not sure what to try? Join our omakase for $5, which gives a tiny sample from different restaurants. Payment on the day of event by cash or e-transfer to globaltorontoeats@gmail.com. No refunds after orders are placed. Details of sampled food will be uploaded after the hike.
Limited cutlery provided. Highly recommended to bring cutlery and containers for omakase and bringing back leftovers.
See ourAbout sectionfor more info.",100,David H.,Entertainment
https://www.meetup.com/these-boots-are-made-for-hiking/events/304149728/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-14T19:30:00-05:00,Ho Ho Ho! Countdown to xmas folks. We hope to see a LOT of you!,"2 Villiers St · Toronto, ON","Xmas will be here before you can say HoHo Ho!We hope to see you ready to move and groove, and to shake your xmas booty!Come in your xmas best and dance to the great mix of tunes with DY Mike!Dj will be playing from 8pm onward and snacks will be served between8:00 pm and 9:30PMPrizes will be given out, and if you have talent, reach out to Angie to show it off!
PS:It is a big room folks so I won't have to tell you you can't come,Doors are open so please message Angie - the co organizer to arrange to send your dollars.There are no refunds!",129,Sherry B.,Entertainment
https://www.meetup.com/agileto/events/261981115/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-12T16:30:00-05:00,Agile Drinks,"14 Duncan St · Toronto, ON","Enjoy some Holiday Cheer with your agile community: Meet new people, new contacts, new leads and new friends!
As always, actual drinking is optional.",29,Trish and 3 others,Entertainment
https://www.meetup.com/techtank-to/events/304806485/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-14T11:00:00-05:00,Code Diversity Monthly Coffee Chats,"37 Baldwin St · Toronto, ON","Join us for an inclusive and relaxed coffee meetup, where women and non-binary folks in tech can connect, share ideas, and build community.
The topic this month is:Set Your Sights: Goal Setting for a Strong Start to the New Year
Whether you’re a seasoned professional or just starting your tech journey, everyone is welcome!
FREE ENTRY!Supporting the café by purchasing a drink or snack is encouraged.
Location:Carbonic Coffee, 37 Baldwin St, Toronto, ON M5T 1L1Time:11am-1pm
Schedule:11:00am - 11:30am - Get to the venue, grab drinks and snacks, socialize!11:30am - 1:00pm - Group discussion, paired off chats and activities.
Organized byTechTankLet’s foster diversity, inclusion, and innovation in tech!",20,Niki and Thannia B.,Entertainment
https://www.meetup.com/dim-sum-meetup/events/304699643/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-15T11:00:00-05:00,Dim sum at Casa Deluz,"1571 Sandhurst Circle · Toronto, ON","Casa Deluz is a huge Chinese restaurant in Scarborough with gourmet dim sum that has been around for a long time. The restaurant has a great selection of items too. The address of the restaurant is:
Casa Deluz1571 Sandhurst Cir,Scarborough, ON M1V 1V2Phone: (416) 298-9992Billing:Please note, dim sum orderings are shared among the table and final bill is equally split. I expect the bill to come out to around $45 per person. Please bring cash for the food bill.Dietary notes:If you have vegetarian, vegan, allergic to certain foods, or don’t eat beef, pork, fish, or seafood, this Meetup may not be suitable for you.Please come to the restaurant on time:Although I reserved us a table at the restaurant, we are at the restaurant at a prime hour. Please contact me if you are running late. The restaurant may give away seats or reduce our table size when people are not there on time.",16,Greg F.,Entertainment
https://www.meetup.com/tamclub/events/304489046/?recId=59abf7ab-659a-41ed-b4da-d62907dd82d2&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-21T14:00:00-05:00,A walk in Distillery Winter Village (Christmas market),"220 Yonge St Unit # 2117 · Toronto, ON","Let’s go to the Christmas Market at Distillery Winter Village and check out the spot. We will either walk or take TTC there.
Meet at Eaton Center south entrance. We will wait for 15 mins for people and then start walking at 2:15pm.
Event fee -$3 per person for anyone that RSVP after Dec2 for this event.Free - No fee if you signed up before Dec2",39,Sam,Business
https://www.meetup.com/hike-to-eat/events/304538401/?recId=59abf7ab-659a-41ed-b4da-d62907dd82d2&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-25T12:00:00-05:00,Chinatown 0 and Chinatown 1 (5.1 km),"100 Queen Street West · Toronto, ON","What's there to eat when dining out on Christmas day? Chinese food of course. Chinese restaurants are one of the few places that are open on Christmas. Join the secular tradition of checking out Chinese and other Asian cuisines.
The most compact place to graze is at downtown Chinatown. It started off where City Hall now stands, so I guess we can call that Chinatown Zero. It moved west to Spadina and continues as the oldest Chinatown in Toronto. It's also thriving, unlike other Chinatowns in North America. Some restaurants are comparable to the well-regarded spots in Scarborough, Richmond Hill, and Markham. There are also public art, historic houses, and other attractions in the neighbourhood.
This is the final installment in our Chinatown series. For reference, we've been to other Chinatowns in previous hikes.
Highlights
NeighbourhoodsBay Steet Corridor > Grange Park > Chinatown > Kensington Market
Maphttps://www.google.com/maps/d/edit?mid=1dAsx4-ve4L9pSmEwDYbbyAB2l2i1efE&usp=sharing
How it worksHike starts punctually. Late or can't do the whole route? Meet us at scheduled checkpoints.
We'll browse many food places but won't linger long. Grab ready-made food, or see the route in advance, organize takeout, then pickup along the way.
Not sure what to try? Join our omakase for $5, which gives a tiny sample from different restaurants. Payment on the day of event by cash or e-transfer to globaltorontoeats@gmail.com. No refunds after orders are placed. Details of sampled food will be uploaded after the hike.
Limited cutlery provided. Highly recommended to bring cutlery and containers for omakase and bringing back leftovers.
See ourAbout sectionfor more info.",42,David H.,Entertainment
https://www.meetup.com/pragmatic-tech/events/304272551/?recId=59abf7ab-659a-41ed-b4da-d62907dd82d2&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-28T20:00:00-05:00,Meet 'n Chill for Tech Talk - Holiday Edition,"4854 Yonge St · North York, ON",Let's meetup for some casual food and drink. Talk some Tech and Business and meet new contacts.,22,Adele,Entertainment
https://www.meetup.com/walkandroll/events/304856385/?recId=59abf7ab-659a-41ed-b4da-d62907dd82d2&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T13:15:00-05:00,Christmas Concert,"Yonge Street & St. Clair Ave. · Toronto, ON","Come see a great Christmas Concert and get into the Christmas Spirit. This is a FREE concert hosted by City TV being held at Yorkminster Baptist Church.
We go to this every year and it's one of the best Christmas concerts you will see. There will be traditional Christmas carols, soloists, Christmas stories and several choirs. Highly recommended !
We will meet INSIDE St. Clair subway where you pay your fare (at the St. Clair entrance next to McDonalds). Be certain to wait at the ST CLAIR ENTRANCE as there are two entrances to this subway. DO NOT WAIT at the Pleasant blvd entrance !!!!
Then we will walk to the church (1585 Yonge) which is nearby. We will sit on the main floor, right side. Felice is wearing a red hat.
If you come late you can sit upstairs in the gallery where there is plenty of room.
**You are requested to bring either canned food or give a small money donation for the food bank.
Check it out at:https://city-carol-sing.yorkminsterpark.com/",53,Felice .,Entertainment
https://www.meetup.com/events-in-toronto-to-connect-you-with-your-people/events/304491876/?recId=59abf7ab-659a-41ed-b4da-d62907dd82d2&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-11T18:30:00-05:00,"December Storytell Social: gather, share, connect.","333 Bloor st west Toronto, · Toronto, ON","** IMPORTANT **If Meetup RSVP is full, you can still grab your donation based ticketsHERE!
📢Follow us on Instagramfor more events and announcements
✨ Tribe Toronto’s most loved meetup series ✨Gather, share, connect.
Join us at Alternity Café for Tribe Toronto's 'Paths of Belief & Tradition' edition of Storytell Social. In this relaxed, welcoming space, we’ll dive into stories about how our paths of belief and tradition have shaped our lives, and evolved over time.
✨ This event is now donation based to attend, but please support the venue by purchasing a drink or snack while you're there. Alternity has a delicious menu of plant-based food and comforting beverages—we personally cannot get enough of the Amazing Superfoods cacao! ✨
🧐 What is a Storytell Social?Storytell Socials are all about connecting with others through sharing stories from our personal experiences. Each gathering invites you to share meaningful moments from your life, sparking dialogue and understanding across diverse perspectives and experiences. Our guided prompts encourage real, authentic exchanges, helping you connect with others on a deeper level beyond small talk.Whether you're flying solo or with friends, this event is the perfect way to connect with new people, share your story, or simply listen. We'll offer some prompts to get the dialogue and sharing flowing butshare only if/when you’re ready—no pressure!
December's theme: Paths of Belief & TraditionHow do beliefs shape who you are?We're in the holiday season, which looks and feels different for everyone. Let's explore and share our personal journeys through religion, beliefs, spirituality, and tradition. What they are now, what they used to be, how they have affected our lives, and how they may have evolved over time.
What to expect:
About the venue:Alternity Caféis a warm and welcoming venue that serves as a community hub for connection and creativity. With cozy seating of beanbag chairs and floor pillows, it’s the perfect backdrop for sharing stories and meeting new people. Alternity has a delicious menu of plant based food and comforting beverages— we personally cannot get enough of the Amazing Superfoods cacao! There is also shop of curated items for your pantry and spiritual needs so come early if you want to check it out!
Stay Connected:📲 Follow us on Instagram@thetribe.torontofor event updates, announcements, and monthly contests",10,Tribe T.,Entertainment
https://www.meetup.com/walk-talk-coffee/events/304324094/?recId=59abf7ab-659a-41ed-b4da-d62907dd82d2&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-14T11:00:00-05:00,A winter walk through some great chocolate shops in Toronto,"65 Front Street West · Toronto, ON","Join us for a winter walk through some great chocolate shops in Toronto. We will meet inupper level of Union Station just by the Bay Concourse behind the sliding double door that lead to Front St.Then we will visit the following chocolate shops by walking to them through the winter streets
The entire route can be foundhereYou can get coffee in one of these shops or somewhere along the route(Click the links above for google maps location)
Approx distance is 14 km
This is a paid event. Meetup is free for attendees but not for organizers. Payments made will be used towards offsetting the organizers' cost of maintaining the Meetup subscription. The fee is
There areno refunds.If you are unsure of attending, then wait to transfer the money until you are sure. However, on the day of the event, the event fee will go up to $5.
This is a winter walk. By signing up and coming to this walk, it is assumed that you have acknowledged and assumed all risks and preparedness as stated below.Assumption of Risk:walking in winter involve inherent risks, including the possibility of a fall or severe injury. These risks may not be fully described here and unforeseen risks may also occur. By choosing to participate in this event, you are acknowledging and assuming all risks.Assumption of Preparedness:You agree to come prepared for the event with clothing, gloves, cap, and shoes as appropriate for the weather and conditions as prevalent on the day of the event. It is also assumed that if you need to leave the event midway through the event, then you will inform the organizer before doing so.
If the event needs to be rescheduled for a weather related reason,no refunds will be provided if you cannot attend the event at the rescheduled time. Instead the funds will be used to compensate for the organizers time to organize/reschedule this event and toward meetup subscription costs to the organizer.",35,Mohan,Entertainment
https://www.meetup.com/designx/events/304882510/?recId=59abf7ab-659a-41ed-b4da-d62907dd82d2&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-12T18:30:00-05:00,DesignX Holiday Edition - Toronto,"483 Queen St W 3rd floor · Toronto, ON","[PAID ADMISSION EVENT]
It’s been way too long since our last in-person holiday bash, and we’re ready to bring the holiday vibes back! 🎉 Let’s gather with your DX fam to celebrate an amazing year. ✨
Come join us:📅When: Thursday, December 12 @ 6:30 PM📍Where: The Well, Toronto
🎉Why you shouldn’t miss this:📖Share Your 2024 StoriesCelebrate the wins, lessons, and adventures of the past year with our community.🍰Seasonal Treats & DrinksHoliday refreshments to enjoy together🎄Mix & MingleConnect with your fellow designers in ugly sweaters! 🤶🎅
Grab your spot here:https://designx.community/holiday-edition-toronto/",13,DesignX C. and Preet,Entertainment
